City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,53.2,61,100,6.46,AU,1717885947
1,adamstown,-25.066,-130.1015,72.88,79,40,14.38,PN,1717885929
2,tatsunocho-tominaga,34.8667,134.55,68.07,89,100,8.23,JP,1717886035
3,as sulayyil,20.4607,45.5779,95.25,10,13,5.95,SA,1717886036
4,petropavlovsk-kamchatsky,53.0452,158.6483,54.19,63,75,14.0,RU,1717886037
5,puerto natales,-51.7236,-72.4875,33.96,94,99,5.55,CL,1717885927
6,zhanibek,49.4167,46.85,65.1,79,1,7.16,KZ,1717886040
7,waitangi,-43.9535,-176.5597,50.83,81,5,7.0,NZ,1717885927
8,yanam,16.7333,82.2167,80.2,87,59,2.44,IN,1717886042
9,palembang,-2.9167,104.7458,78.89,94,75,2.3,ID,1717886044
10,uturoa,-16.7333,-151.4333,79.83,77,68,7.07,PF,1717885944
11,yellowknife,62.456,-114.3525,59.52,49,75,11.01,CA,1717886046
12,udachny,66.4167,112.4,56.44,80,69,11.79,RU,1717886048
13,san luis,-33.295,-66.3356,61.65,70,100,5.28,AR,1717885994
14,port-aux-francais,-49.35,70.2167,42.75,96,100,28.34,TF,1717886050
15,zelenoborskiy,66.845,32.3622,45.91,86,84,4.03,RU,1717886052
16,maumere,-8.6199,122.2111,77.5,84,22,5.19,ID,1717886053
17,oamaru,-45.0784,170.9801,47.25,65,100,3.76,NZ,1717886054
18,gutao,37.2025,112.1781,73.27,31,30,1.54,CN,1717886055
19,frontera,26.9333,-101.45,96.89,38,29,5.01,MX,1717886057
20,mondlo,-27.983,30.7177,40.78,94,7,1.88,ZA,1717886058
21,aasiaat,68.7098,-52.8699,35.44,84,6,9.15,GL,1717885932
22,tralee,52.2704,-9.7026,49.64,73,37,7.2,IE,1717886060
23,santo antonio,-6.3106,-35.4789,74.7,89,98,8.77,BR,1717886062
24,new norfolk,-42.7826,147.0587,47.91,87,57,2.04,AU,1717885954
25,kone,-21.0595,164.8658,80.29,59,94,5.48,NC,1717885930
26,lupiro,-8.3833,36.6667,69.42,66,82,3.02,TZ,1717886065
27,whitehorse,60.7161,-135.0538,74.01,20,75,17.27,CA,1717885772
28,cozumel,20.5083,-86.9458,87.87,74,75,17.27,MX,1717885886
29,clinton,42.587,-82.9199,75.22,74,100,5.99,US,1717886069
30,kudat,6.8837,116.8477,76.93,94,100,2.3,MY,1717885935
31,la ronge,55.1001,-105.2842,50.25,62,100,11.5,CA,1717886071
32,rumoi,43.9344,141.6428,66.4,72,97,12.62,JP,1717886073
33,olovyannaya,50.95,115.5667,50.99,74,69,3.2,RU,1717886074
34,saint-philippe,-21.3585,55.7679,69.39,83,72,2.46,RE,1717886075
35,luderitz,-26.6481,15.1594,66.85,29,0,18.03,NA,1717885930
36,viedma,-40.8135,-62.9967,58.01,90,100,6.93,AR,1717886078
37,sisimiut,66.9395,-53.6735,37.49,93,56,6.53,GL,1717885946
38,afaahiti,-17.75,-149.2833,76.87,84,99,6.82,PF,1717886080
39,lebu,-37.6167,-73.65,53.28,95,100,16.08,CL,1717886081
40,bethel,41.3712,-73.414,77.36,49,20,8.05,US,1717886083
41,iqaluit,63.7506,-68.5145,35.33,64,75,12.66,CA,1717886084
42,kenai,60.5544,-151.2583,64.02,51,0,17.27,US,1717886085
43,edinburgh of the seven seas,-37.0676,-12.3116,61.52,89,100,32.3,SH,1717886086
44,arkhangel'sk,64.5401,40.5433,52.12,100,100,6.71,RU,1717885983
45,punta arenas,-53.15,-70.9167,30.31,86,0,3.44,CL,1717885887
46,grytviken,-54.2811,-36.5092,31.98,98,100,13.47,GS,1717886090
47,ola,59.5833,151.2833,41.14,90,100,10.0,RU,1717886091
48,margate,51.3813,1.3862,57.69,62,0,4.0,GB,1717885611
49,college,64.8569,-147.8028,80.58,23,40,16.11,US,1717885812
50,nadvoitsy,63.8667,34.3167,50.97,76,83,2.44,RU,1717885990
51,arar,30.9753,41.0381,87.82,11,0,0.0,SA,1717885952
52,georgetown,5.4112,100.3354,78.75,87,40,4.61,MY,1717886097
53,port mathurin,-19.6833,63.4167,75.16,79,26,19.24,MU,1717885928
54,brinkmann,-30.8659,-62.0374,72.99,73,100,12.37,AR,1717886100
55,pangody,65.85,74.4859,37.17,87,31,8.43,RU,1717885953
56,north battleford,52.7834,-108.2847,50.09,66,100,9.22,CA,1717886103
57,west island,-12.1568,96.8225,78.78,89,75,4.61,CC,1717886104
58,kingston,17.997,-76.7936,86.95,70,40,16.11,JM,1717885840
59,olonkinbyen,70.9221,-8.7187,32.02,93,68,15.43,SJ,1717885928
60,albany,42.6001,-73.9662,70.66,63,82,10.67,US,1717885931
61,ribeira grande,38.5167,-28.7,67.77,89,4,8.01,PT,1717886109
62,mingguang,32.7802,117.9638,79.93,51,97,5.39,CN,1717886110
63,mokhsogollokh,61.4681,128.9203,56.23,75,1,5.91,RU,1717886111
64,farafangana,-22.8167,47.8333,68.95,86,69,14.54,MG,1717886113
65,iskateley,67.6803,53.1512,35.02,86,81,5.99,RU,1717885930
66,kandyagash,49.4744,57.4233,63.52,79,25,8.95,KZ,1717886115
67,road town,18.4167,-64.6167,84.24,79,75,5.75,VG,1717886042
68,arraial do cabo,-22.9661,-42.0278,73.2,82,0,16.04,BR,1717885986
69,ilulissat,69.2167,-51.1,39.22,81,2,5.75,GL,1717885931
70,isangel,-19.55,169.2667,77.7,76,83,11.36,VU,1717886121
71,remire-montjoly,4.9167,-52.2667,84.24,79,0,4.61,GF,1717885962
72,klaksvik,62.2266,-6.589,47.32,88,96,21.23,FO,1717886124
73,jayapura,-2.5333,140.7,79.99,87,68,4.27,ID,1717885948
